analcatdata_authorship.arff,9,55,81,15,42,68,28,94,96,75,62,31,83,17,57,44,22,70,88,49,101,37,6,9,10,32,97,102,100,54,41,27,93,14,38,76,23,89,63,50,67,80,8,4,36,21,87,74,61,48,5,95,29,30,56,82,16,69,43,33,71,58,84,18,45,99,35,73,20,86,60,47,85,34,72,46,19,59,98,7,26,13,66,53,79,92,3,24,25,77,11,64,90,51,39,52,12,91,65,78,40
analcatdata_boxing1.arff,10,28,42,15,81,68,55,37,62,49,75,22,88,29,33,58,71,18,84,45,54,31,70,57,17,83,44,80,14,67,41,36,87,21,74,61,48,32,34,19,59,72,46,85,27,35,86,20,60,73,47,9,30,16,82,96,69,56,43,8,6,101,100,5,10,4,97,94,93,26,66,13,99,95,79,53,98,7,3,92,38,89,76,50,63,23,102,24,25,90,11,39,78,65,51,64,77,12,91,52,40
analcatdata_chlamydia.arff,10,28,42,15,81,68,55,37,62,49,75,22,88,29,33,58,71,18,84,45,54,31,70,57,17,83,44,80,14,67,41,36,87,21,74,61,48,32,34,19,59,72,46,85,27,35,86,20,60,73,47,9,30,16,82,96,69,56,43,8,6,101,100,5,10,4,97,94,93,26,66,13,99,95,79,53,98,7,3,92,38,89,76,50,63,23,102,24,25,90,11,39,78,65,51,64,77,12,91,52,40
analcatdata_dmft.arff,10,28,42,15,81,68,55,37,62,49,75,22,88,29,33,58,71,18,84,45,54,31,70,57,17,83,44,80,14,67,41,36,87,21,74,61,48,32,34,19,59,72,46,85,27,35,86,20,60,73,47,9,30,16,82,96,69,56,43,8,6,101,100,5,10,4,97,94,93,26,66,13,99,95,79,53,98,7,3,92,38,89,76,50,63,23,102,24,25,90,11,39,78,65,51,64,77,12,91,52,40
analcatdata_michiganacc.arff,14,28,81,32,55,31,44,17,42,68,15,70,83,57,29,27,14,54,67,94,80,6,41,97,33,18,84,71,58,45,38,50,76,63,89,23,10,96,9,93,30,16,82,43,69,56,102,101,4,49,62,37,22,75,88,36,21,48,61,74,100,87,8,95,5,34,72,59,7,85,19,46,26,79,53,3,98,99,92,35,20,86,73,47,60,66,13,25,24,11,64,77,39,51,90,12,40,52,65,78,91
analcatdata_seropositive.arff,14,28,81,32,55,31,44,17,42,68,15,70,83,57,29,27,14,54,67,94,80,6,41,97,33,18,84,71,58,45,38,50,76,63,89,23,10,96,9,93,30,16,82,43,69,56,102,101,4,49,62,37,22,75,88,36,21,48,61,74,100,87,8,95,5,34,72,59,7,85,19,46,26,79,53,3,98,99,92,35,20,86,73,47,60,66,13,25,24,11,64,77,39,51,90,12,40,52,65,78,91
analcatdata_supreme.arff,11,55,28,81,31,42,68,15,94,29,83,17,62,70,44,57,75,49,22,88,37,96,32,41,6,54,10,9,14,97,38,76,23,89,63,50,27,101,67,102,80,93,4,33,45,71,84,58,18,36,21,48,100,74,87,61,8,30,95,16,69,56,43,82,5,34,19,72,85,59,46,7,99,98,35,86,60,20,73,47,26,66,79,53,13,92,3,24,25,90,11,51,39,64,91,77,12,78,52,65,40
analcatdata_vineyard.arff,14,28,81,32,55,31,44,17,42,68,15,70,83,57,29,27,14,54,67,94,80,6,41,97,33,18,84,71,58,45,38,50,76,63,89,23,10,96,9,93,30,16,82,43,69,56,102,101,4,49,62,37,22,75,88,36,21,48,61,74,100,87,8,95,5,34,72,59,7,85,19,46,26,79,53,3,98,99,92,35,20,86,73,47,60,66,13,25,24,11,64,77,39,51,90,12,40,52,65,78,91
chscase_census2.arff,16,55,68,15,81,42,28,97,6,94,29,49,88,37,101,22,62,75,9,67,54,80,4,41,27,14,96,93,31,44,57,17,70,83,36,87,74,48,61,21,100,8,38,102,89,76,50,63,23,10,99,33,18,71,58,45,84,98,7,59,19,72,46,85,34,95,5,30,82,69,56,43,16,35,20,60,73,47,86,32,92,3,26,79,13,66,53,24,90,25,64,39,51,11,77,78,12,65,40,52,91
chscase_census3.arff,16,55,68,15,81,42,28,97,6,94,29,49,88,37,101,22,62,75,9,67,54,80,4,41,27,14,96,93,31,44,57,17,70,83,36,87,74,48,61,21,100,8,38,102,89,76,50,63,23,10,99,33,18,71,58,45,84,98,7,59,19,72,46,85,34,95,5,30,82,69,56,43,16,35,20,60,73,47,86,32,92,3,26,79,13,66,53,24,90,25,64,39,51,11,77,78,12,65,40,52,91
chscase_census4.arff,16,55,68,15,81,42,28,97,6,94,29,49,88,37,101,22,62,75,9,67,54,80,4,41,27,14,96,93,31,44,57,17,70,83,36,87,74,48,61,21,100,8,38,102,89,76,50,63,23,10,99,33,18,71,58,45,84,98,7,59,19,72,46,85,34,95,5,30,82,69,56,43,16,35,20,60,73,47,86,32,92,3,26,79,13,66,53,24,90,25,64,39,51,11,77,78,12,65,40,52,91
dataset_14_mfeat-fourier.arff,5,42,68,28,55,15,81,94,14,27,49,41,80,67,54,97,62,75,88,37,22,31,17,83,57,70,44,33,58,71,84,18,45,93,101,96,32,29,100,36,74,21,61,87,48,34,19,59,72,85,46,79,26,66,13,53,30,16,69,95,56,82,43,98,92,35,86,47,73,60,20,9,99,6,4,5,8,7,3,38,89,23,102,63,76,50,10,24,90,25,77,51,64,11,52,39,40,65,78,91,12
