ID,CLASSIFIER,ATTRIBUTESELECTION,SEED,DATASET,FLOW,RANK,WEIGHTEDAREAUNDERROC,WEIGHTEDFMEASURE,WEIGHTEDPRECISION,WEIGHTEDRECALL,ERRORRATE,TIMEELAPSED
35,logitboost,wrapper-subset-eval-with-adaboost-operator,700.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,2,0.9510308837210819,0.8986405344009235,0.92870878981367,0.888641425389755,0.111358574610245,3832.0
36,logitboost,wrapper-subset-eval-with-adaboost-operator,750.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,2,0.9498729761941851,0.8975045972776133,0.9274373639108279,0.8875278396436526,0.11247216035634744,3844.0
37,logitboost,wrapper-subset-eval-with-adaboost-operator,800.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,2,0.9506579557382004,0.8986405344009235,0.92870878981367,0.888641425389755,0.111358574610245,3839.0
38,logitboost,wrapper-subset-eval-with-adaboost-operator,850.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,2,0.9502517277125642,0.8986405344009235,0.92870878981367,0.888641425389755,0.111358574610245,3840.0
39,logitboost,wrapper-subset-eval-with-adaboost-operator,900.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,2,0.950560081772965,0.8986405344009235,0.92870878981367,0.888641425389755,0.111358574610245,3834.0
40,logitboost,wrapper-subset-eval-with-adaboost-operator,950.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,2,0.951511228758658,0.8963543165984927,0.9261668749724077,0.8864142538975501,0.11358574610244988,3839.0
41,randomforest,cfs-subset-eval,0.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,0.9936367940383626,0.9832370928878248,0.9835004815331604,0.9832962138084632,0.01670378619153675,835.0
42,randomforest,cfs-subset-eval,50.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,0.9898741385636646,0.9811048421424421,0.9814483202305381,0.9810690423162584,0.01893095768374165,816.0
43,randomforest,cfs-subset-eval,100.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,0.9912079237954111,0.9810665916702028,0.9812753677190557,0.9810690423162584,0.01893095768374165,818.0
44,randomforest,cfs-subset-eval,150.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,3,0.9937504120354481,0.9811495727858465,0.9814801972834615,0.9810690423162584,0.01893095768374165,819.0
