"","ID","CLASSIFIER","ATTRIBUTESELECTION","SEED","DATASET","FLOW","RANK","CLUSTER","WEIGHTEDAREAUNDERROC","WEIGHTEDFMEASURE","WEIGHTEDPRECISION","WEIGHTEDRECALL","ERRORRATE","TIMEELAPSED"
"37",37,"bagging","relieff-attribute-eval",800,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator",2,19,0.997869092821543,0.985186058681486,0.985702622847125,0.985523385300668,0.0144766146993318,821
"38",38,"bagging","relieff-attribute-eval",850,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator",2,19,0.993669247205234,0.981894331694768,0.981971359283723,0.982182628062361,0.0178173719376392,822
"39",39,"bagging","relieff-attribute-eval",900,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator",2,19,0.992184365083645,0.98747386745134,0.987508259505395,0.987750556792873,0.0122494432071269,818
"40",40,"bagging","relieff-attribute-eval",950,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator",2,19,0.997372971673409,0.983006009009493,0.983059735843341,0.983296213808463,0.0167037861915367,818
"41",41,"logitboost","symmetrical-uncert-attribute-eval",1,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator",3,19,0.994113967617848,0.988710255420812,0.988973498039165,0.988864142538975,0.0111358574610245,831
"42",42,"logitboost","symmetrical-uncert-attribute-eval",50,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator",3,19,0.993992915366232,0.988771158908239,0.989202672893302,0.988864142538975,0.0111358574610245,821
"43",43,"logitboost","symmetrical-uncert-attribute-eval",100,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator",3,19,0.990929284110642,0.985460584970788,0.986104643485979,0.985523385300668,0.0144766146993318,820
"44",44,"logitboost","symmetrical-uncert-attribute-eval",150,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator",3,19,0.993076308866413,0.986572330949263,0.987283418369429,0.986636971046771,0.0133630289532294,819
"45",45,"logitboost","symmetrical-uncert-attribute-eval",200,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator",3,19,0.99368160321454,0.986644741562632,0.987447559787582,0.986636971046771,0.0133630289532294,819
"46",46,"logitboost","symmetrical-uncert-attribute-eval",250,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator",3,19,0.994950759814396,0.987651328340319,0.988252264972901,0.987750556792873,0.0122494432071269,823
"47",47,"logitboost","symmetrical-uncert-attribute-eval",300,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator",3,19,0.991400699263155,0.9876244715543,0.9880606852546,0.987750556792873,0.0122494432071269,818
"48",48,"logitboost","symmetrical-uncert-attribute-eval",350,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator",3,19,0.991503551351233,0.987616651445419,0.987948076123412,0.987750556792873,0.0122494432071269,819
"49",49,"logitboost","symmetrical-uncert-attribute-eval",400,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator",3,19,0.99464646025226,0.9876244715543,0.9880606852546,0.987750556792873,0.0122494432071269,820
"50",50,"logitboost","symmetrical-uncert-attribute-eval",450,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator",3,19,0.990157732419963,0.986463198379658,0.986920328972783,0.986636971046771,0.0133630289532294,818
"51",51,"logitboost","symmetrical-uncert-attribute-eval",500,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator",3,19,0.995028449497405,0.987651328340319,0.988252264972901,0.987750556792873,0.0122494432071269,821
"52",52,"logitboost","symmetrical-uncert-attribute-eval",550,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator",3,19,0.992737220685995,0.989859549392736,0.990207066743636,0.989977728285078,0.010022271714922,821
"53",53,"logitboost","symmetrical-uncert-attribute-eval",600,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator",3,19,0.993573072484388,0.987789227036317,0.988107757051343,0.987750556792873,0.0122494432071269,818
"54",54,"logitboost","symmetrical-uncert-attribute-eval",650,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator",3,19,0.993789960502734,0.987733306837014,0.98794151605649,0.987750556792873,0.0122494432071269,816
